snapped_at,price,market_cap,total_volume
2013-04-28 00:00:00 UTC,135.3,1500517590,0
2013-05-01 00:00:00 UTC,117.0,1298951550.0,0.0
2017-08-29 00:00:00 UTC,4394.06343624723,72641940495.6991,864725915.097578
2018-02-17 00:00:00 UTC,10155.2770555258,171309236631.063,3141038601.332415
2018-02-18 00:00:00 UTC,11006.647685962,185692327611.28845,3699819140.1747103
