FECHA,AIRQ_CO2,DATASET
1990,916.461994,DATASET_05_1990_2012_GER
1991,879.754822,DATASET_05_1990_2012_GER
1992,842.315546,DATASET_05_1990_2012_GER
1993,834.762086,DATASET_05_1990_2012_GER
1994,823.422636,DATASET_05_1990_2012_GER
1995,820.535326,DATASET_05_1990_2012_GER
1996,847.872142,DATASET_05_1990_2012_GER
1997,818.770466,DATASET_05_1990_2012_GER
1998,811.774246,DATASET_05_1990_2012_GER
1999,780.959086,DATASET_05_1990_2012_GER
2000,778.365104,DATASET_05_1990_2012_GER
2001,808.290202,DATASET_05_1990_2012_GER
2002,795.151078,DATASET_05_1990_2012_GER
2003,796.526526,DATASET_05_1990_2012_GER
2004,780.096488,DATASET_05_1990_2012_GER
2005,763.736998,DATASET_05_1990_2012_GER
2006,753.708526,DATASET_05_1990_2012_GER
2007,721.06308,DATASET_05_1990_2012_GER
2008,728.004828,DATASET_05_1990_2012_GER
2009,670.54415,DATASET_05_1990_2012_GER
2010,709.496572,DATASET_05_1990_2012_GER
2011,683.730784,DATASET_05_1990_2012_GER
2012,696.991455,DATASET_05_1990_2012_GER
