FECHA,AIRQ_CO2,DATASET
1971,13.07,DATASET_05_1971_2012_ARG
1972,12.41,DATASET_05_1971_2012_ARG
1973,14.89,DATASET_05_1971_2012_ARG
1974,15.34,DATASET_05_1971_2012_ARG
1975,16.07,DATASET_05_1971_2012_ARG
1976,17.41,DATASET_05_1971_2012_ARG
1977,18.43,DATASET_05_1971_2012_ARG
1978,18.11,DATASET_05_1971_2012_ARG
1979,18.63,DATASET_05_1971_2012_ARG
1980,18.24,DATASET_05_1971_2012_ARG
1981,19.23,DATASET_05_1971_2012_ARG
1982,18.48,DATASET_05_1971_2012_ARG
1983,19.97,DATASET_05_1971_2012_ARG
1984,20.37,DATASET_05_1971_2012_ARG
1985,20.66,DATASET_05_1971_2012_ARG
1986,20.05,DATASET_05_1971_2012_ARG
1987,21.55,DATASET_05_1971_2012_ARG
1988,22.46,DATASET_05_1971_2012_ARG
1989,21.03,DATASET_05_1971_2012_ARG
1990,21.85,DATASET_05_1971_2012_ARG
1991,21.95,DATASET_05_1971_2012_ARG
1992,22.07,DATASET_05_1971_2012_ARG
1993,22.81,DATASET_05_1971_2012_ARG
1994,23.9,DATASET_05_1971_2012_ARG
1995,24.54,DATASET_05_1971_2012_ARG
1996,25.09,DATASET_05_1971_2012_ARG
1997,24.57,DATASET_05_1971_2012_ARG
1998,24.6,DATASET_05_1971_2012_ARG
1999,26.12,DATASET_05_1971_2012_ARG
2000,26.8,DATASET_05_1971_2012_ARG
2001,25.52,DATASET_05_1971_2012_ARG
2002,24.56,DATASET_05_1971_2012_ARG
2003,26.77,DATASET_05_1971_2012_ARG
2004,29.31,DATASET_05_1971_2012_ARG
2005,31.01,DATASET_05_1971_2012_ARG
2006,32.57,DATASET_05_1971_2012_ARG
2007,32.92,DATASET_05_1971_2012_ARG
2008,37.09,DATASET_05_1971_2012_ARG
2009,36.2,DATASET_05_1971_2012_ARG
2010,36.21,DATASET_05_1971_2012_ARG
2011,33.47,DATASET_05_1971_2012_ARG
2012,35.23,DATASET_05_1971_2012_ARG
