FECHA,AIRQ_CO2,DATASET
1850,,DATASET_05_1850_2012_BOL
1851,,DATASET_05_1850_2012_BOL
1852,,DATASET_05_1850_2012_BOL
1853,,DATASET_05_1850_2012_BOL
1854,,DATASET_05_1850_2012_BOL
1855,,DATASET_05_1850_2012_BOL
1856,,DATASET_05_1850_2012_BOL
1857,,DATASET_05_1850_2012_BOL
1858,,DATASET_05_1850_2012_BOL
1859,,DATASET_05_1850_2012_BOL
1860,,DATASET_05_1850_2012_BOL
1861,,DATASET_05_1850_2012_BOL
1862,,DATASET_05_1850_2012_BOL
1863,,DATASET_05_1850_2012_BOL
1864,,DATASET_05_1850_2012_BOL
1865,,DATASET_05_1850_2012_BOL
1866,,DATASET_05_1850_2012_BOL
1867,,DATASET_05_1850_2012_BOL
1868,,DATASET_05_1850_2012_BOL
1869,,DATASET_05_1850_2012_BOL
1870,,DATASET_05_1850_2012_BOL
1871,,DATASET_05_1850_2012_BOL
1872,,DATASET_05_1850_2012_BOL
1873,,DATASET_05_1850_2012_BOL
1874,,DATASET_05_1850_2012_BOL
1875,,DATASET_05_1850_2012_BOL
1876,,DATASET_05_1850_2012_BOL
1877,,DATASET_05_1850_2012_BOL
1878,,DATASET_05_1850_2012_BOL
1879,,DATASET_05_1850_2012_BOL
1880,,DATASET_05_1850_2012_BOL
1881,,DATASET_05_1850_2012_BOL
1882,,DATASET_05_1850_2012_BOL
1883,,DATASET_05_1850_2012_BOL
1884,,DATASET_05_1850_2012_BOL
1885,,DATASET_05_1850_2012_BOL
1886,,DATASET_05_1850_2012_BOL
1887,,DATASET_05_1850_2012_BOL
1888,,DATASET_05_1850_2012_BOL
1889,,DATASET_05_1850_2012_BOL
1890,,DATASET_05_1850_2012_BOL
1891,,DATASET_05_1850_2012_BOL
1892,,DATASET_05_1850_2012_BOL
1893,,DATASET_05_1850_2012_BOL
1894,,DATASET_05_1850_2012_BOL
1895,,DATASET_05_1850_2012_BOL
1896,,DATASET_05_1850_2012_BOL
1897,,DATASET_05_1850_2012_BOL
1898,,DATASET_05_1850_2012_BOL
1899,,DATASET_05_1850_2012_BOL
1900,,DATASET_05_1850_2012_BOL
1901,,DATASET_05_1850_2012_BOL
1902,,DATASET_05_1850_2012_BOL
1903,,DATASET_05_1850_2012_BOL
1904,,DATASET_05_1850_2012_BOL
1905,,DATASET_05_1850_2012_BOL
1906,,DATASET_05_1850_2012_BOL
1907,,DATASET_05_1850_2012_BOL
1908,,DATASET_05_1850_2012_BOL
1909,,DATASET_05_1850_2012_BOL
1910,,DATASET_05_1850_2012_BOL
1911,,DATASET_05_1850_2012_BOL
1912,,DATASET_05_1850_2012_BOL
1913,,DATASET_05_1850_2012_BOL
1914,,DATASET_05_1850_2012_BOL
1915,,DATASET_05_1850_2012_BOL
1916,,DATASET_05_1850_2012_BOL
1917,,DATASET_05_1850_2012_BOL
1918,,DATASET_05_1850_2012_BOL
1919,,DATASET_05_1850_2012_BOL
1920,,DATASET_05_1850_2012_BOL
1921,,DATASET_05_1850_2012_BOL
1922,,DATASET_05_1850_2012_BOL
1923,,DATASET_05_1850_2012_BOL
1924,,DATASET_05_1850_2012_BOL
1925,,DATASET_05_1850_2012_BOL
1926,,DATASET_05_1850_2012_BOL
1927,,DATASET_05_1850_2012_BOL
1928,0.0037,DATASET_05_1850_2012_BOL
1929,0.011,DATASET_05_1850_2012_BOL
1930,0.011,DATASET_05_1850_2012_BOL
1931,0.0073,DATASET_05_1850_2012_BOL
1932,0.0147,DATASET_05_1850_2012_BOL
1933,0.044,DATASET_05_1850_2012_BOL
1934,0.0769,DATASET_05_1850_2012_BOL
1935,0.0696,DATASET_05_1850_2012_BOL
1936,0.044,DATASET_05_1850_2012_BOL
1937,0.0513,DATASET_05_1850_2012_BOL
1938,0.066,DATASET_05_1850_2012_BOL
1939,0.0843,DATASET_05_1850_2012_BOL
1940,0.1282,DATASET_05_1850_2012_BOL
1941,0.1063,DATASET_05_1850_2012_BOL
1942,0.1319,DATASET_05_1850_2012_BOL
1943,0.1466,DATASET_05_1850_2012_BOL
1944,0.1392,DATASET_05_1850_2012_BOL
1945,0.1685,DATASET_05_1850_2012_BOL
1946,0.1576,DATASET_05_1850_2012_BOL
1947,0.1685,DATASET_05_1850_2012_BOL
1948,0.2015,DATASET_05_1850_2012_BOL
1949,0.2931,DATASET_05_1850_2012_BOL
1950,0.4983,DATASET_05_1850_2012_BOL
1951,0.4617,DATASET_05_1850_2012_BOL
1952,0.513,DATASET_05_1850_2012_BOL
1953,0.5386,DATASET_05_1850_2012_BOL
1954,0.7878,DATASET_05_1850_2012_BOL
1955,0.9307,DATASET_05_1850_2012_BOL
1956,1.1029,DATASET_05_1850_2012_BOL
1957,1.0076,DATASET_05_1850_2012_BOL
1958,0.9197,DATASET_05_1850_2012_BOL
1959,0.949,DATASET_05_1850_2012_BOL
1960,1.0039,DATASET_05_1850_2012_BOL
1961,1.0406,DATASET_05_1850_2012_BOL
1962,1.0992,DATASET_05_1850_2012_BOL
1963,1.2164,DATASET_05_1850_2012_BOL
1964,1.3264,DATASET_05_1850_2012_BOL
1965,1.4436,DATASET_05_1850_2012_BOL
1966,1.6122,DATASET_05_1850_2012_BOL
1967,1.7367,DATASET_05_1850_2012_BOL
1968,1.8943,DATASET_05_1850_2012_BOL
1969,1.9786,DATASET_05_1850_2012_BOL
1970,1.9346,DATASET_05_1850_2012_BOL
1971,2.2323,DATASET_05_1850_2012_BOL
1972,2.4633,DATASET_05_1850_2012_BOL
1973,2.6143,DATASET_05_1850_2012_BOL
1974,2.8326,DATASET_05_1850_2012_BOL
1975,3.3519,DATASET_05_1850_2012_BOL
1976,3.6299,DATASET_05_1850_2012_BOL
1977,3.8719,DATASET_05_1850_2012_BOL
1978,4.1782,DATASET_05_1850_2012_BOL
1979,4.1846,DATASET_05_1850_2012_BOL
1980,4.6681,DATASET_05_1850_2012_BOL
1981,4.7169,DATASET_05_1850_2012_BOL
1982,4.9912,DATASET_05_1850_2012_BOL
1983,5.3895,DATASET_05_1850_2012_BOL
1984,4.9391,DATASET_05_1850_2012_BOL
1985,4.6775,DATASET_05_1850_2012_BOL
1986,4.4835,DATASET_05_1850_2012_BOL
1987,4.8433,DATASET_05_1850_2012_BOL
1988,4.6841,DATASET_05_1850_2012_BOL
1989,5.1798,DATASET_05_1850_2012_BOL
1990,5.6254,DATASET_05_1850_2012_BOL
1991,5.6637,DATASET_05_1850_2012_BOL
1992,6.7757,DATASET_05_1850_2012_BOL
1993,7.7023,DATASET_05_1850_2012_BOL
1994,8.9153,DATASET_05_1850_2012_BOL
1995,8.2342,DATASET_05_1850_2012_BOL
1996,7.8075,DATASET_05_1850_2012_BOL
1997,7.8888,DATASET_05_1850_2012_BOL
1998,8.3947,DATASET_05_1850_2012_BOL
1999,7.8014,DATASET_05_1850_2012_BOL
2000,8.1374,DATASET_05_1850_2012_BOL
2001,7.658,DATASET_05_1850_2012_BOL
2002,8.2662,DATASET_05_1850_2012_BOL
2003,9.0912,DATASET_05_1850_2012_BOL
2004,9.6846,DATASET_05_1850_2012_BOL
2005,10.4934,DATASET_05_1850_2012_BOL
2006,11.346,DATASET_05_1850_2012_BOL
2007,12.3127,DATASET_05_1850_2012_BOL
2008,13.4146,DATASET_05_1850_2012_BOL
2009,14.1403,DATASET_05_1850_2012_BOL
2010,15.5162,DATASET_05_1850_2012_BOL
2011,16.9543,DATASET_05_1850_2012_BOL
2012,16.7379,DATASET_05_1850_2012_BOL
