FECHA,AIRQ_CO2,DATASET
1983,102.722,DATASET_05_1850_2012_ARG
1984,101.6362,DATASET_05_1850_2012_ARG
1985,96.2166,DATASET_05_1850_2012_ARG
1986,100.1694,DATASET_05_1850_2012_ARG
1987,109.7591,DATASET_05_1850_2012_ARG
1988,113.8021,DATASET_05_1850_2012_ARG
1989,112.8124,DATASET_05_1850_2012_ARG
1990,106.357,DATASET_05_1850_2012_ARG
1991,111.6405,DATASET_05_1850_2012_ARG
1992,113.9208,DATASET_05_1850_2012_ARG
1993,115.3229,DATASET_05_1850_2012_ARG
1994,123.4174,DATASET_05_1850_2012_ARG
1995,126.5423,DATASET_05_1850_2012_ARG
1996,135.907,DATASET_05_1850_2012_ARG
1997,139.6335,DATASET_05_1850_2012_ARG
1998,143.3634,DATASET_05_1850_2012_ARG
1999,146.645,DATASET_05_1850_2012_ARG
2000,146.025,DATASET_05_1850_2012_ARG
2001,135.5755,DATASET_05_1850_2012_ARG
2002,127.8437,DATASET_05_1850_2012_ARG
2003,138.7102,DATASET_05_1850_2012_ARG
2004,154.2489,DATASET_05_1850_2012_ARG
2005,157.6305,DATASET_05_1850_2012_ARG
2006,167.9118,DATASET_05_1850_2012_ARG
2007,174.9396,DATASET_05_1850_2012_ARG
2008,185.8391,DATASET_05_1850_2012_ARG
2009,178.1424,DATASET_05_1850_2012_ARG
2010,183.1064,DATASET_05_1850_2012_ARG
2011,191.0226,DATASET_05_1850_2012_ARG
2012,195.7599,DATASET_05_1850_2012_ARG
