FECHA,AIRQ_CO2,DATASET
1971,2.62,DATASET_05_1971_2012_CHI
1972,2.95,DATASET_05_1971_2012_CHI
1973,3.1,DATASET_05_1971_2012_CHI
1974,2.84,DATASET_05_1971_2012_CHI
1975,2.57,DATASET_05_1971_2012_CHI
1976,2.67,DATASET_05_1971_2012_CHI
1977,2.78,DATASET_05_1971_2012_CHI
1978,2.63,DATASET_05_1971_2012_CHI
1979,2.55,DATASET_05_1971_2012_CHI
1980,2.48,DATASET_05_1971_2012_CHI
1981,2.49,DATASET_05_1971_2012_CHI
1982,2.48,DATASET_05_1971_2012_CHI
1983,2.26,DATASET_05_1971_2012_CHI
1984,2.28,DATASET_05_1971_2012_CHI
1985,2.21,DATASET_05_1971_2012_CHI
1986,2.52,DATASET_05_1971_2012_CHI
1987,2.41,DATASET_05_1971_2012_CHI
1988,2.63,DATASET_05_1971_2012_CHI
1989,2.82,DATASET_05_1971_2012_CHI
1990,3.34,DATASET_05_1971_2012_CHI
1991,3.77,DATASET_05_1971_2012_CHI
1992,4.26,DATASET_05_1971_2012_CHI
1993,4.35,DATASET_05_1971_2012_CHI
1994,4.57,DATASET_05_1971_2012_CHI
1995,4.47,DATASET_05_1971_2012_CHI
1996,4.58,DATASET_05_1971_2012_CHI
1997,5.15,DATASET_05_1971_2012_CHI
1998,4.21,DATASET_05_1971_2012_CHI
1999,4.49,DATASET_05_1971_2012_CHI
2000,4.72,DATASET_05_1971_2012_CHI
2001,4.68,DATASET_05_1971_2012_CHI
2002,4.63,DATASET_05_1971_2012_CHI
2003,4.25,DATASET_05_1971_2012_CHI
2004,4.88,DATASET_05_1971_2012_CHI
2005,4.4,DATASET_05_1971_2012_CHI
2006,4.38,DATASET_05_1971_2012_CHI
2007,4.85,DATASET_05_1971_2012_CHI
2008,4.98,DATASET_05_1971_2012_CHI
2009,5.2,DATASET_05_1971_2012_CHI
2010,5.93,DATASET_05_1971_2012_CHI
2011,6.96,DATASET_05_1971_2012_CHI
2012,6.2,DATASET_05_1971_2012_CHI
