FECHA,AIRQ_CO2,DATASET
1990,182.192714,DATASET_05_1990_2012_ARG
1991,176.033158,DATASET_05_1990_2012_ARG
1992,179.052908,DATASET_05_1990_2012_ARG
1993,181.194342,DATASET_05_1990_2012_ARG
1994,190.028316,DATASET_05_1990_2012_ARG
1995,193.892634,DATASET_05_1990_2012_ARG
1996,203.964174,DATASET_05_1990_2012_ARG
1997,208.366592,DATASET_05_1990_2012_ARG
1998,212.995026,DATASET_05_1990_2012_ARG
1999,216.935888,DATASET_05_1990_2012_ARG
2000,216.968728,DATASET_05_1990_2012_ARG
2001,205.010056,DATASET_05_1990_2012_ARG
2002,198.051118,DATASET_05_1990_2012_ARG
2003,209.21089,DATASET_05_1990_2012_ARG
2004,225.900814,DATASET_05_1990_2012_ARG
2005,229.207002,DATASET_05_1990_2012_ARG
2006,229.407096,DATASET_05_1990_2012_ARG
2007,235.988014,DATASET_05_1990_2012_ARG
2008,247.97953,DATASET_05_1990_2012_ARG
2009,240.890234,DATASET_05_1990_2012_ARG
2010,245.377882,DATASET_05_1990_2012_ARG
2011,253.958468,DATASET_05_1990_2012_ARG
2012,259.6194469,DATASET_05_1990_2012_ARG
