FECHA,AIRQ_CO2,DATASET
1971,7.85,DATASET_05_1971_2012_BRA
1972,9.01,DATASET_05_1971_2012_BRA
1973,10.45,DATASET_05_1971_2012_BRA
1974,10.89,DATASET_05_1971_2012_BRA
1975,11.48,DATASET_05_1971_2012_BRA
1976,12.65,DATASET_05_1971_2012_BRA
1977,13.27,DATASET_05_1971_2012_BRA
1978,14.1,DATASET_05_1971_2012_BRA
1979,15.97,DATASET_05_1971_2012_BRA
1980,17.51,DATASET_05_1971_2012_BRA
1981,17.47,DATASET_05_1971_2012_BRA
1982,19.08,DATASET_05_1971_2012_BRA
1983,19.9,DATASET_05_1971_2012_BRA
1984,19.46,DATASET_05_1971_2012_BRA
1985,21.73,DATASET_05_1971_2012_BRA
1986,22.38,DATASET_05_1971_2012_BRA
1987,24.26,DATASET_05_1971_2012_BRA
1988,26.18,DATASET_05_1971_2012_BRA
1989,27.01,DATASET_05_1971_2012_BRA
1990,27.34,DATASET_05_1971_2012_BRA
1991,27.07,DATASET_05_1971_2012_BRA
1992,28.28,DATASET_05_1971_2012_BRA
1993,29.48,DATASET_05_1971_2012_BRA
1994,31.21,DATASET_05_1971_2012_BRA
1995,33.01,DATASET_05_1971_2012_BRA
1996,33.79,DATASET_05_1971_2012_BRA
1997,35.92,DATASET_05_1971_2012_BRA
1998,34.52,DATASET_05_1971_2012_BRA
1999,35.91,DATASET_05_1971_2012_BRA
2000,35.36,DATASET_05_1971_2012_BRA
2001,36.94,DATASET_05_1971_2012_BRA
2002,36.37,DATASET_05_1971_2012_BRA
2003,34.3,DATASET_05_1971_2012_BRA
2004,34.77,DATASET_05_1971_2012_BRA
2005,34.02,DATASET_05_1971_2012_BRA
2006,34.12,DATASET_05_1971_2012_BRA
2007,35.71,DATASET_05_1971_2012_BRA
2008,37.59,DATASET_05_1971_2012_BRA
2009,36.74,DATASET_05_1971_2012_BRA
2010,37.73,DATASET_05_1971_2012_BRA
2011,37.48,DATASET_05_1971_2012_BRA
2012,38.12,DATASET_05_1971_2012_BRA
