FECHA,AIRQ_CO2,DATASET
1982,1003.1698,DATASET_05_1850_2012_GER
1983,1004.9797,DATASET_05_1850_2012_GER
1984,1026.303,DATASET_05_1850_2012_GER
1985,1033.2304,DATASET_05_1850_2012_GER
1986,1035.5477,DATASET_05_1850_2012_GER
1987,1025.9853,DATASET_05_1850_2012_GER
1988,1020.5183,DATASET_05_1850_2012_GER
1989,997.1332,DATASET_05_1850_2012_GER
1990,968.46,DATASET_05_1850_2012_GER
1991,942.9715,DATASET_05_1850_2012_GER
1992,905.9345,DATASET_05_1850_2012_GER
1993,898.7834,DATASET_05_1850_2012_GER
1994,887.8463,DATASET_05_1850_2012_GER
1995,885.3614,DATASET_05_1850_2012_GER
1996,913.1011,DATASET_05_1850_2012_GER
1997,884.402,DATASET_05_1850_2012_GER
1998,877.808,DATASET_05_1850_2012_GER
1999,847.3952,DATASET_05_1850_2012_GER
2000,845.2038,DATASET_05_1850_2012_GER
2001,861.7905,DATASET_05_1850_2012_GER
2002,848.6514,DATASET_05_1850_2012_GER
2003,850.0269,DATASET_05_1850_2012_GER
2004,833.5953,DATASET_05_1850_2012_GER
2005,817.2373,DATASET_05_1850_2012_GER
2006,830.6691,DATASET_05_1850_2012_GER
2007,798.0301,DATASET_05_1850_2012_GER
2008,804.9135,DATASET_05_1850_2012_GER
2009,747.5107,DATASET_05_1850_2012_GER
2010,786.4636,DATASET_05_1850_2012_GER
2011,760.6978,DATASET_05_1850_2012_GER
2012,773.9585,DATASET_05_1850_2012_GER
