FECHA,AIRQ_CO2,DATASET
1990,83.011084,DATASET_05_1990_2012_BOL
1991,83.045134,DATASET_05_1990_2012_BOL
1992,84.153798,DATASET_05_1990_2012_BOL
1993,85.077206,DATASET_05_1990_2012_BOL
1994,86.286866,DATASET_05_1990_2012_BOL
1995,85.602454,DATASET_05_1990_2012_BOL
1996,85.172528,DATASET_05_1990_2012_BOL
1997,85.250544,DATASET_05_1990_2012_BOL
1998,85.753226,DATASET_05_1990_2012_BOL
1999,85.156562,DATASET_05_1990_2012_BOL
2000,85.489294,DATASET_05_1990_2012_BOL
2001,84.653026,DATASET_05_1990_2012_BOL
2002,85.263718,DATASET_05_1990_2012_BOL
2003,86.09119,DATASET_05_1990_2012_BOL
2004,86.687096,DATASET_05_1990_2012_BOL
2005,87.498384,DATASET_05_1990_2012_BOL
2006,98.605788,DATASET_05_1990_2012_BOL
2007,99.575998,DATASET_05_1990_2012_BOL
2008,100.68122,DATASET_05_1990_2012_BOL
2009,101.410368,DATASET_05_1990_2012_BOL
2010,102.789682,DATASET_05_1990_2012_BOL
2011,104.231204,DATASET_05_1990_2012_BOL
2012,104.01826,DATASET_05_1990_2012_BOL
