DATASET,FECHA,HORA,AIRQ_CO,AIRQ_NO2
DATASET_01_2009_2017_PA,07/10/2009,7,0.35, 
DATASET_01_2009_2017_PA,07/10/2009,8,0.34, 
DATASET_01_2009_2017_PA,07/10/2009,9,0.39, 
DATASET_01_2009_2017_PA,07/10/2009,10,0.43, 
DATASET_01_2009_2017_PA,07/10/2009,11,0.45, 
DATASET_01_2009_2017_PA,07/10/2009,12,0.49, 
DATASET_01_2009_2017_PA,07/10/2009,13,0.5, 
DATASET_01_2009_2017_PA,07/10/2009,14,0.51, 
DATASET_01_2009_2017_PA,07/10/2009,15,0.53, 
DATASET_01_2009_2017_PA,07/10/2009,16,0.54, 
DATASET_01_2009_2017_PA,07/10/2009,17,0.5, 
DATASET_01_2009_2017_PA,07/10/2009,18,0.48, 
DATASET_01_2009_2017_PA,07/10/2009,19,0.48, 
DATASET_01_2009_2017_PA,07/10/2009,20,0.49, 
DATASET_01_2009_2017_PA,07/10/2009,21,0.53, 
DATASET_01_2009_2017_PA,07/10/2009,22,0.59, 
DATASET_01_2009_2017_PA,07/10/2009,23,0.68, 
DATASET_01_2009_2017_PA,07/10/2009,24,0.75, 
DATASET_01_2009_2017_PA,08/10/2009,1,0.79, 
DATASET_01_2009_2017_PA,08/10/2009,2,0.83, 
DATASET_01_2009_2017_PA,08/10/2009,3,0.86, 
DATASET_01_2009_2017_PA,08/10/2009,4,0.84, 
DATASET_01_2009_2017_PA,08/10/2009,5,0.81, 
DATASET_01_2009_2017_PA,08/10/2009,6,0.78, 
DATASET_01_2009_2017_PA,08/10/2009,7,0.74, 
DATASET_01_2009_2017_PA,08/10/2009,8,0.73, 
DATASET_01_2009_2017_PA,08/10/2009,9,0.73, 
DATASET_01_2009_2017_PA,08/10/2009,10,0.73, 
DATASET_01_2009_2017_PA,08/10/2009,11,0.71, 
DATASET_01_2009_2017_PA,08/10/2009,12,0.79, 
DATASET_01_2009_2017_PA,08/10/2009,13,0.86, 
DATASET_01_2009_2017_PA,08/10/2009,14,1.04, 
