FECHA,AIRQ_CO2,DATASET
1850,,DATASET_05_1850_2012_CHI
1851,,DATASET_05_1850_2012_CHI
1852,,DATASET_05_1850_2012_CHI
1853,,DATASET_05_1850_2012_CHI
1854,,DATASET_05_1850_2012_CHI
1855,,DATASET_05_1850_2012_CHI
1856,,DATASET_05_1850_2012_CHI
1857,,DATASET_05_1850_2012_CHI
1858,,DATASET_05_1850_2012_CHI
1859,,DATASET_05_1850_2012_CHI
1860,,DATASET_05_1850_2012_CHI
1861,,DATASET_05_1850_2012_CHI
1862,,DATASET_05_1850_2012_CHI
1863,,DATASET_05_1850_2012_CHI
1864,,DATASET_05_1850_2012_CHI
1865,,DATASET_05_1850_2012_CHI
1866,,DATASET_05_1850_2012_CHI
1867,,DATASET_05_1850_2012_CHI
1868,,DATASET_05_1850_2012_CHI
1869,,DATASET_05_1850_2012_CHI
1870,,DATASET_05_1850_2012_CHI
1871,,DATASET_05_1850_2012_CHI
1872,,DATASET_05_1850_2012_CHI
1873,,DATASET_05_1850_2012_CHI
1874,,DATASET_05_1850_2012_CHI
1875,,DATASET_05_1850_2012_CHI
1876,,DATASET_05_1850_2012_CHI
1877,,DATASET_05_1850_2012_CHI
1878,,DATASET_05_1850_2012_CHI
1879,,DATASET_05_1850_2012_CHI
1880,,DATASET_05_1850_2012_CHI
1881,,DATASET_05_1850_2012_CHI
1882,,DATASET_05_1850_2012_CHI
1883,,DATASET_05_1850_2012_CHI
1884,,DATASET_05_1850_2012_CHI
1885,,DATASET_05_1850_2012_CHI
1886,,DATASET_05_1850_2012_CHI
1887,,DATASET_05_1850_2012_CHI
1888,,DATASET_05_1850_2012_CHI
1889,,DATASET_05_1850_2012_CHI
1890,,DATASET_05_1850_2012_CHI
1891,,DATASET_05_1850_2012_CHI
1892,,DATASET_05_1850_2012_CHI
1893,,DATASET_05_1850_2012_CHI
1894,,DATASET_05_1850_2012_CHI
1895,0.524,DATASET_05_1850_2012_CHI
1896,0.5349,DATASET_05_1850_2012_CHI
1897,0.6375,DATASET_05_1850_2012_CHI
1898,0.7401,DATASET_05_1850_2012_CHI
1899,0.6339,DATASET_05_1850_2012_CHI
1900,0.85,DATASET_05_1850_2012_CHI
1901,1.5682,DATASET_05_1850_2012_CHI
1902,1.9602,DATASET_05_1850_2012_CHI
1903,2.1618,DATASET_05_1850_2012_CHI
1904,1.9676,DATASET_05_1850_2012_CHI
1905,2.0775,DATASET_05_1850_2012_CHI
1906,2.4402,DATASET_05_1850_2012_CHI
1907,2.1801,DATASET_05_1850_2012_CHI
1908,2.4585,DATASET_05_1850_2012_CHI
1909,2.3523,DATASET_05_1850_2012_CHI
1910,2.8103,DATASET_05_1850_2012_CHI
1911,3.1071,DATASET_05_1850_2012_CHI
1912,3.4625,DATASET_05_1850_2012_CHI
1913,3.3562,DATASET_05_1850_2012_CHI
1914,2.8433,DATASET_05_1850_2012_CHI
1915,3.0668,DATASET_05_1850_2012_CHI
1916,3.708,DATASET_05_1850_2012_CHI
1917,4.0267,DATASET_05_1850_2012_CHI
1918,3.9681,DATASET_05_1850_2012_CHI
1919,3.8838,DATASET_05_1850_2012_CHI
1920,2.781,DATASET_05_1850_2012_CHI
1921,3.3342,DATASET_05_1850_2012_CHI
1922,2.7553,DATASET_05_1850_2012_CHI
1923,3.0448,DATASET_05_1850_2012_CHI
1924,4.0267,DATASET_05_1850_2012_CHI
1925,3.7996,DATASET_05_1850_2012_CHI
1926,3.9022,DATASET_05_1850_2012_CHI
1927,3.8765,DATASET_05_1850_2012_CHI
1928,3.653,DATASET_05_1850_2012_CHI
1929,4.0194,DATASET_05_1850_2012_CHI
1930,3.8545,DATASET_05_1850_2012_CHI
1931,2.9275,DATASET_05_1850_2012_CHI
1932,2.8946,DATASET_05_1850_2012_CHI
1933,4.0927,DATASET_05_1850_2012_CHI
1934,4.8328,DATASET_05_1850_2012_CHI
1935,5.1149,DATASET_05_1850_2012_CHI
1936,5.0307,DATASET_05_1850_2012_CHI
1937,5.2798,DATASET_05_1850_2012_CHI
1938,5.529,DATASET_05_1850_2012_CHI
1939,5.0087,DATASET_05_1850_2012_CHI
1940,5.2615,DATASET_05_1850_2012_CHI
1941,5.5693,DATASET_05_1850_2012_CHI
1942,5.8111,DATASET_05_1850_2012_CHI
1943,6.1116,DATASET_05_1850_2012_CHI
1944,6.1409,DATASET_05_1850_2012_CHI
1945,5.6426,DATASET_05_1850_2012_CHI
1946,5.4337,DATASET_05_1850_2012_CHI
1947,5.7085,DATASET_05_1850_2012_CHI
1948,6.2068,DATASET_05_1850_2012_CHI
1949,5.8771,DATASET_05_1850_2012_CHI
1950,8.4528,DATASET_05_1850_2012_CHI
1951,9.9844,DATASET_05_1850_2012_CHI
1952,10.49,DATASET_05_1850_2012_CHI
1953,10.3032,DATASET_05_1850_2012_CHI
1954,11.0286,DATASET_05_1850_2012_CHI
1955,11.4647,DATASET_05_1850_2012_CHI
1956,11.6222,DATASET_05_1850_2012_CHI
1957,11.3144,DATASET_05_1850_2012_CHI
1958,11.6698,DATASET_05_1850_2012_CHI
1959,11.5929,DATASET_05_1850_2012_CHI
1960,11.9446,DATASET_05_1850_2012_CHI
1961,12.2011,DATASET_05_1850_2012_CHI
1962,13.7144,DATASET_05_1850_2012_CHI
1963,14.3812,DATASET_05_1850_2012_CHI
1964,14.9455,DATASET_05_1850_2012_CHI
1965,15.2459,DATASET_05_1850_2012_CHI
1966,16.5613,DATASET_05_1850_2012_CHI
1967,16.7811,DATASET_05_1850_2012_CHI
1968,18.265,DATASET_05_1850_2012_CHI
1969,18.9209,DATASET_05_1850_2012_CHI
1970,22.5483,DATASET_05_1850_2012_CHI
1971,21.5215,DATASET_05_1850_2012_CHI
1972,21.1088,DATASET_05_1850_2012_CHI
1973,20.5052,DATASET_05_1850_2012_CHI
1974,20.2508,DATASET_05_1850_2012_CHI
1975,17.4856,DATASET_05_1850_2012_CHI
1976,18.25,DATASET_05_1850_2012_CHI
1977,19.1206,DATASET_05_1850_2012_CHI
1978,19.8662,DATASET_05_1850_2012_CHI
1979,21.1842,DATASET_05_1850_2012_CHI
1980,22.0078,DATASET_05_1850_2012_CHI
1981,22.087,DATASET_05_1850_2012_CHI
1982,18.8143,DATASET_05_1850_2012_CHI
1983,19.4865,DATASET_05_1850_2012_CHI
1984,20.7262,DATASET_05_1850_2012_CHI
1985,20.1508,DATASET_05_1850_2012_CHI
1986,20.7745,DATASET_05_1850_2012_CHI
1987,21.3028,DATASET_05_1850_2012_CHI
1988,25.9319,DATASET_05_1850_2012_CHI
1989,31.2134,DATASET_05_1850_2012_CHI
1990,32.2099,DATASET_05_1850_2012_CHI
1991,31.1758,DATASET_05_1850_2012_CHI
1992,33.3907,DATASET_05_1850_2012_CHI
1993,34.0525,DATASET_05_1850_2012_CHI
1994,37.7772,DATASET_05_1850_2012_CHI
