FECHA,AIRQ_CO2,DATASET
1971,251.32,DATASET_05_1971_2012_GER
1972,256.46,DATASET_05_1971_2012_GER
1973,270.67,DATASET_05_1971_2012_GER
1974,246.74,DATASET_05_1971_2012_GER
1975,241.39,DATASET_05_1971_2012_GER
1976,260.17,DATASET_05_1971_2012_GER
1977,255.36,DATASET_05_1971_2012_GER
1978,263.32,DATASET_05_1971_2012_GER
1979,277.59,DATASET_05_1971_2012_GER
1980,250.55,DATASET_05_1971_2012_GER
1981,236.31,DATASET_05_1971_2012_GER
1982,223.9,DATASET_05_1971_2012_GER
1983,217.09,DATASET_05_1971_2012_GER
1984,230.99,DATASET_05_1971_2012_GER
1985,247.32,DATASET_05_1971_2012_GER
1986,256.93,DATASET_05_1971_2012_GER
1987,250.29,DATASET_05_1971_2012_GER
1988,233.23,DATASET_05_1971_2012_GER
1989,202.64,DATASET_05_1971_2012_GER
1990,210.18,DATASET_05_1971_2012_GER
1991,210.63,DATASET_05_1971_2012_GER
1992,194.07,DATASET_05_1971_2012_GER
1993,199.06,DATASET_05_1971_2012_GER
1994,188.14,DATASET_05_1971_2012_GER
1995,190.7,DATASET_05_1971_2012_GER
1996,215.32,DATASET_05_1971_2012_GER
1997,200.81,DATASET_05_1971_2012_GER
1998,192.24,DATASET_05_1971_2012_GER
1999,175,DATASET_05_1971_2012_GER
2000,170.6,DATASET_05_1971_2012_GER
2001,186.65,DATASET_05_1971_2012_GER
2002,174.71,DATASET_05_1971_2012_GER
2003,172.4,DATASET_05_1971_2012_GER
2004,162.74,DATASET_05_1971_2012_GER
2005,159.41,DATASET_05_1971_2012_GER
2006,167.62,DATASET_05_1971_2012_GER
2007,128.99,DATASET_05_1971_2012_GER
2008,152.8,DATASET_05_1971_2012_GER
2009,141.97,DATASET_05_1971_2012_GER
2010,150.64,DATASET_05_1971_2012_GER
2011,129.94,DATASET_05_1971_2012_GER
2012,137.29,DATASET_05_1971_2012_GER
